dateAdded,dateUpdated,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,Big4
2015-10-23T03:26:00Z,2018-04-27T11:38:20Z,105 E Flagler St,Fast Food,Miami,US,us/fl/miami/105eflaglerst/-891525969,25.774379999999997,-80.191734,SUBWAY,33131,FL,Subway
2015-12-01T00:04:05Z,2018-04-27T11:38:20Z,4440 Lone Tree Way,Fast Food,Antioch,US,us/ca/antioch/4440lonetreeway/-1161002137,37.9665,-121.7828,McDonald's,94531,CA,McDonalds
2016-04-02T05:13:44Z,2018-04-27T11:38:10Z,168 E Main St,Fast Food Restaurant,Hendersonville,US,us/tn/hendersonville/168emainst/-791445730,36.307520000000004,-86.60773,Wendy's,37075,TN,Wendys
2016-04-05T02:57:28Z,2018-04-27T11:36:00Z,7770 Preserve Ln,Fast Food Restaurants,Naples,US,us/fl/naples/7770preserveln/-891525969,26.273809999999997,-81.71054000000001,SUBWAY,34119,FL,Subway
2016-06-20T15:48:51Z,2018-04-27T11:35:40Z,100 N McLean Blvd,Fast Food Restaurant,South Elgin,US,us/il/southelgin/100nmcleanblvd/-1161002137,41.99671,-88.3167,McDonald's,60177,IL,McDonalds
2015-10-20T01:30:54Z,2018-04-27T11:35:39Z,200 Sundown,Fast Food Restaurant,South Elgin,US,us/il/southelgin/200sundown/-2061630068,42.0040866,-88.29684237,Burger King,60177,IL,Burger King
2015-10-24T00:07:47Z,2018-04-27T11:34:18Z,19110 S I 19 Frontage Rd,Fast Food Restaurant,Green Valley,US,us/az/greenvalley/19110si19frontagerd/-2061630068,31.9092,-110.9852,Burger King,85614,AZ,Burger King
2017-07-03T19:34:41Z,2018-04-27T11:33:38Z,731 E Central Ave,Fast Food Restaurant,Dayton,US,us/oh/dayton/731ecentralave/-791445730,39.6768,-84.2421,Wendy's,45449,OH,Wendys
2015-07-22T20:58:43Z,2018-04-26T02:13:12Z,2375 Delk Rd SE,Fast Food Restaurant East Cobb,Marietta,US,us/ga/marietta/2375delkrdse/-1161002137,33.92398,-84.48348,McDonald's,30067,GA,McDonalds
2016-06-13T23:14:58Z,2018-04-26T02:12:42Z,400 Towne Dr,Fast Food Restaurants,Fayetteville,US,us/ny/fayetteville/400townedr/-1161002137,43.02978,-76.01843000000001,McDonald's,13066,NY,McDonalds
2015-07-22T20:56:37Z,2018-04-26T02:12:07Z,3398 Capital Cir NE,Fast Food Restaurant,Tallahassee,US,us/fl/tallahassee/3398capitalcirne/-1161002137,30.50018,-84.24761,McDonalds,32308,FL,McDonalds
